team,season,role,position,shirt_number,full_name,country,is_overseas,birthdate
FC Barcelona,2020/2021,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2020/2021,Staff,Manager,,Ronald Koeman,Netherlands,1,1963-03-21
FC Barcelona,2019/2020,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2019/2020,Player,Defender,2.0,Nélson Semedo,Portugal,1,1993-11-16
FC Barcelona,2019/2020,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2019/2020,Player,Midfielder,4.0,Ivan Rakitić,Croatia,1,1988-03-10
FC Barcelona,2019/2020,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2019/2020,Player,Midfielder,8.0,Arthur,Brazil,1,1996-08-12
FC Barcelona,2019/2020,Player,Forward,9.0,Luis Suárez,Uruguay,1,1987-01-24
FC Barcelona,2019/2020,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2019/2020,Player,Forward,11.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2019/2020,Player,Goalkeeper,13.0,Neto,Brazil,1,1989-07-19
FC Barcelona,2019/2020,Player,Defender,15.0,Clément Lenglet,France,1,1995-06-17
FC Barcelona,2019/2020,Player,Forward,17.0,Antoine Griezmann,France,1,1991-03-21
FC Barcelona,2019/2020,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2019/2020,Player,Forward,19.0,Martin Braithwaite,Denmark,1,1991-06-05
FC Barcelona,2019/2020,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2019/2020,Player,Midfielder,21.0,Frenkie de Jong,Netherlands,1,1997-05-12
FC Barcelona,2019/2020,Player,Midfielder,22.0,Arturo Vidal,Chile,1,1987-05-22
FC Barcelona,2019/2020,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2019/2020,Player,Defender,24.0,Junior Firpo,Spain,0,1996-08-22
FC Barcelona,2019/2020,Player,Goalkeeper,26.0,Iñaki Peña,Spain,0,1999-03-02
FC Barcelona,2019/2020,Player,Midfielder,28.0,Riqui Puig,Spain,0,1999-08-13
FC Barcelona,2019/2020,Player,Midfielder,30.0,Álex Collado,Spain,0,1999-04-22
FC Barcelona,2019/2020,Player,Forward,31.0,Ansu Fati,Spain,0,2002-10-31
FC Barcelona,2019/2020,Player,Defender,33.0,Ronald Araújo,Uruguay,1,1999-03-07
FC Barcelona,2019/2020,Player,Defender,35.0,Dani Morer,Spain,0,1998-02-05
FC Barcelona,2019/2020,Player,Forward,38.0,Kike Saverio,Ecuador,1,1999-06-19
FC Barcelona,2019/2020,Player,Defender,39.0,Akieme,Equatorial Guinea,1,1997-12-16
FC Barcelona,2019/2020,Player,Defender,40.0,Chumi,Spain,0,1999-03-02
FC Barcelona,2019/2020,Player,Forward,41.0,Rey Manaj,Albania,1,1997-02-24
FC Barcelona,2019/2020,Player,Midfielder,42.0,Monchu,Spain,0,1999-09-13
FC Barcelona,2019/2020,Player,Defender,43.0,Jorge Cuenca,Spain,0,1999-11-17
FC Barcelona,2019/2020,Staff,Ass. Manager,,Eder Sarabia,Spain,0,1981-01-12
FC Barcelona,2019/2020,Staff,Athletic Coach,,Fran Soto,Spain,0,1974-01-15
FC Barcelona,2019/2020,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2019/2020,Staff,Goalkeeping Coach,,Jon Pascua,Spain,0,1972-07-25
FC Barcelona,2019/2020,Staff,Manager,,Quique Setién,Spain,0,1958-09-27
FC Barcelona,2019/2020,Player,Midfielder,,Arda Turan,Turkey,1,1987-01-30
FC Barcelona,2018/2019,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2018/2019,Player,Defender,2.0,Nélson Semedo,Portugal,1,1993-11-16
FC Barcelona,2018/2019,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2018/2019,Player,Midfielder,4.0,Ivan Rakitić,Croatia,1,1988-03-10
FC Barcelona,2018/2019,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2018/2019,Player,Defender,6.0,Jean-Clair Todibo,France,1,1999-12-30
FC Barcelona,2018/2019,Player,Midfielder,7.0,Coutinho,Brazil,1,1992-06-12
FC Barcelona,2018/2019,Player,Midfielder,8.0,Arthur,Brazil,1,1996-08-12
FC Barcelona,2018/2019,Player,Forward,9.0,Luis Suárez,Uruguay,1,1987-01-24
FC Barcelona,2018/2019,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2018/2019,Player,Forward,11.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2018/2019,Player,Midfielder,12.0,Rafinha,Brazil,1,1993-02-12
FC Barcelona,2018/2019,Player,Goalkeeper,13.0,Jasper Cillessen,Netherlands,1,1989-04-22
FC Barcelona,2018/2019,Player,Forward,14.0,Malcom,Brazil,1,1997-02-26
FC Barcelona,2018/2019,Player,Defender,15.0,Clément Lenglet,France,1,1995-06-17
FC Barcelona,2018/2019,Player,Defender,17.0,Jeison Murillo,Colombia,1,1992-05-27
FC Barcelona,2018/2019,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2018/2019,Player,Midfielder,19.0,Kevin-Prince Boateng,Ghana,1,1987-03-06
FC Barcelona,2018/2019,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2018/2019,Player,Midfielder,21.0,Carles Aleñá,Spain,0,1998-01-05
FC Barcelona,2018/2019,Player,Midfielder,22.0,Arturo Vidal,Chile,1,1987-05-22
FC Barcelona,2018/2019,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2018/2019,Player,Defender,24.0,Thomas Vermaelen,Belgium,1,1985-11-14
FC Barcelona,2018/2019,Player,Defender,27.0,Juan Miranda,Spain,0,2000-01-19
FC Barcelona,2018/2019,Player,Midfielder,28.0,Riqui Puig,Spain,0,1999-08-13
FC Barcelona,2018/2019,Player,Forward,29.0,Abel Ruiz,Spain,0,2000-01-28
FC Barcelona,2018/2019,Player,Goalkeeper,30.0,Iñaki Peña,Spain,0,1999-03-02
FC Barcelona,2018/2019,Player,Goalkeeper,31.0,Jokin Ezkieta,Spain,0,1996-08-17
FC Barcelona,2018/2019,Player,Defender,33.0,Jorge Cuenca,Spain,0,1999-11-17
FC Barcelona,2018/2019,Player,Forward,34.0,Álex Collado,Spain,0,1999-04-22
FC Barcelona,2018/2019,Player,Midfielder,35.0,Oriol Busquets,Spain,0,1999-01-20
FC Barcelona,2018/2019,Player,Defender,36.0,Chumi,Spain,0,1999-03-02
FC Barcelona,2018/2019,Player,Defender,38.0,Guillem Jaime,Spain,0,1999-01-06
FC Barcelona,2018/2019,Player,Defender,40.0,Moussa Wagué,Senegal,1,1998-10-04
FC Barcelona,2018/2019,Player,Forward,43.0,Carles Pérez,Spain,0,1998-02-16
FC Barcelona,2018/2019,Staff,Ass. Manager,,Aspiazu,Spain,0,1962-11-05
FC Barcelona,2018/2019,Staff,Ass. Manager,,Barbarà,Spain,0,1966-07-23
FC Barcelona,2018/2019,Staff,Athletic Coach,,José Antonio Pozanco,Spain,0,1970-06-04
FC Barcelona,2018/2019,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2018/2019,Staff,Manager,,Valverde,Spain,0,1964-02-09
FC Barcelona,2018/2019,Player,Midfielder,,Denis Suárez,Spain,0,1994-01-06
FC Barcelona,2017/2018,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2017/2018,Player,Defender,2.0,Nélson Semedo,Portugal,1,1993-11-16
FC Barcelona,2017/2018,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2017/2018,Player,Midfielder,4.0,Ivan Rakitić,Croatia,1,1988-03-10
FC Barcelona,2017/2018,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2017/2018,Player,Midfielder,6.0,Denis Suárez,Spain,0,1994-01-06
FC Barcelona,2017/2018,Player,Midfielder,8.0,Iniesta,Spain,0,1984-05-11
FC Barcelona,2017/2018,Player,Forward,9.0,Luis Suárez,Uruguay,1,1987-01-24
FC Barcelona,2017/2018,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2017/2018,Player,Forward,11.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2017/2018,Player,Goalkeeper,13.0,Jasper Cillessen,Netherlands,1,1989-04-22
FC Barcelona,2017/2018,Player,Midfielder,14.0,Coutinho,Brazil,1,1992-06-12
FC Barcelona,2017/2018,Player,Midfielder,15.0,Paulinho,Brazil,1,1988-07-25
FC Barcelona,2017/2018,Player,Midfielder,16.0,Samper,Spain,0,1995-01-20
FC Barcelona,2017/2018,Player,Forward,17.0,Paco Alcácer,Spain,0,1993-08-30
FC Barcelona,2017/2018,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2017/2018,Player,Defender,19.0,Lucas Digne,France,1,1993-07-20
FC Barcelona,2017/2018,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2017/2018,Player,Midfielder,21.0,André Gomes,Portugal,1,1993-07-30
FC Barcelona,2017/2018,Player,Defender,22.0,Aleix Vidal,Spain,0,1989-08-21
FC Barcelona,2017/2018,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2017/2018,Player,Defender,24.0,Yerry Mina,Colombia,1,1994-09-23
FC Barcelona,2017/2018,Player,Defender,25.0,Thomas Vermaelen,Belgium,1,1985-11-14
FC Barcelona,2017/2018,Player,Midfielder,26.0,Carles Aleñá,Spain,0,1998-01-05
FC Barcelona,2017/2018,Player,Midfielder,30.0,Oriol Busquets,Spain,0,1999-01-20
FC Barcelona,2017/2018,Player,Goalkeeper,31.0,Adriàn Ortolà,Spain,0,1993-08-20
FC Barcelona,2017/2018,Player,Defender,36.0,Cucurella,Spain,0,1998-07-22
FC Barcelona,2017/2018,Player,Midfielder,37.0,José Arnáiz,Spain,0,1995-04-15
FC Barcelona,2017/2018,Player,Defender,39.0,David Costas,Spain,0,1995-03-26
FC Barcelona,2017/2018,Staff,Ass. Manager,,Aspiazu,Spain,0,1962-11-05
FC Barcelona,2017/2018,Staff,Ass. Manager,,Barbarà,Spain,0,1966-07-23
FC Barcelona,2017/2018,Staff,Athletic Coach,,José Antonio Pozanco,Spain,0,1970-06-04
FC Barcelona,2017/2018,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2017/2018,Staff,Manager,,Valverde,Spain,0,1964-02-09
FC Barcelona,2016/2017,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2016/2017,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2016/2017,Player,Midfielder,4.0,Ivan Rakitić,Croatia,1,1988-03-10
FC Barcelona,2016/2017,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2016/2017,Player,Midfielder,6.0,Denis Suárez,Spain,0,1994-01-06
FC Barcelona,2016/2017,Player,Midfielder,7.0,Arda Turan,Turkey,1,1987-01-30
FC Barcelona,2016/2017,Player,Midfielder,8.0,Iniesta,Spain,0,1984-05-11
FC Barcelona,2016/2017,Player,Forward,9.0,Luis Suárez,Uruguay,1,1987-01-24
FC Barcelona,2016/2017,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2016/2017,Player,Forward,11.0,Neymar,Brazil,1,1992-02-05
FC Barcelona,2016/2017,Player,Midfielder,12.0,Rafinha,Brazil,1,1993-02-12
FC Barcelona,2016/2017,Player,Goalkeeper,13.0,Jasper Cillessen,Netherlands,1,1989-04-22
FC Barcelona,2016/2017,Player,Defender,14.0,Javier Mascherano,Argentina,1,1984-06-08
FC Barcelona,2016/2017,Player,Forward,17.0,Paco Alcácer,Spain,0,1993-08-30
FC Barcelona,2016/2017,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2016/2017,Player,Defender,19.0,Lucas Digne,France,1,1993-07-20
FC Barcelona,2016/2017,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2016/2017,Player,Midfielder,21.0,André Gomes,Portugal,1,1993-07-30
FC Barcelona,2016/2017,Player,Defender,22.0,Aleix Vidal,Spain,0,1989-08-21
FC Barcelona,2016/2017,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2016/2017,Player,Defender,24.0,Jérémy Mathieu,France,1,1983-10-29
FC Barcelona,2016/2017,Player,Goalkeeper,25.0,Jordi Masip,Spain,0,1989-01-03
FC Barcelona,2016/2017,Player,Midfielder,27.0,Wilfrid Kaptoum,Cameroon,1,1996-07-07
FC Barcelona,2016/2017,Player,Midfielder,28.0,Carles Aleñá,Spain,0,1998-01-05
FC Barcelona,2016/2017,Player,Forward,30.0,Álex Carbonell,Spain,0,1997-09-15
FC Barcelona,2016/2017,Player,Defender,31.0,Nili,Spain,0,1994-02-18
FC Barcelona,2016/2017,Player,Defender,33.0,Marlon,Brazil,1,1995-09-07
FC Barcelona,2016/2017,Player,Defender,35.0,Borja López,Spain,0,1994-02-02
FC Barcelona,2016/2017,Player,Forward,39.0,Marc Cardona,Spain,0,1995-07-08
FC Barcelona,2016/2017,Staff,Ass. Manager,,Barbarà,Spain,0,1966-07-23
FC Barcelona,2016/2017,Staff,Ass. Manager,,Unzué,Spain,0,1967-04-22
FC Barcelona,2016/2017,Staff,Ass. Manager,,Jesús Casas,Spain,0,1973-10-23
FC Barcelona,2016/2017,Staff,Ass. Manager,,Robert Moreno,Spain,0,1977-09-19
FC Barcelona,2016/2017,Player,Forward,,Cristian Tello,Spain,0,1991-08-11
FC Barcelona,2016/2017,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2016/2017,Staff,Manager,,Luis Enrique,Spain,0,1970-05-08
FC Barcelona,2015/2016,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2015/2016,Player,Defender,2.0,Douglas,Brazil,1,1990-08-06
FC Barcelona,2015/2016,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2015/2016,Player,Midfielder,4.0,Ivan Rakitić,Croatia,1,1988-03-10
FC Barcelona,2015/2016,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2015/2016,Player,Defender,6.0,Dani Alves,Brazil,1,1983-05-06
FC Barcelona,2015/2016,Player,Midfielder,7.0,Arda Turan,Turkey,1,1987-01-30
FC Barcelona,2015/2016,Player,Midfielder,8.0,Iniesta,Spain,0,1984-05-11
FC Barcelona,2015/2016,Player,Forward,9.0,Luis Suárez,Uruguay,1,1987-01-24
FC Barcelona,2015/2016,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2015/2016,Player,Forward,11.0,Neymar,Brazil,1,1992-02-05
FC Barcelona,2015/2016,Player,Midfielder,12.0,Rafinha,Brazil,1,1993-02-12
FC Barcelona,2015/2016,Player,Goalkeeper,13.0,Claudio Bravo,Chile,1,1983-04-13
FC Barcelona,2015/2016,Player,Defender,14.0,Javier Mascherano,Argentina,1,1984-06-08
FC Barcelona,2015/2016,Player,Defender,15.0,Bartra,Spain,0,1991-01-15
FC Barcelona,2015/2016,Player,Forward,17.0,Munir,Morocco,1,1995-09-01
FC Barcelona,2015/2016,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2015/2016,Player,Forward,19.0,Sandro,Spain,0,1995-07-09
FC Barcelona,2015/2016,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2015/2016,Player,Defender,21.0,Adriano,Brazil,1,1984-10-26
FC Barcelona,2015/2016,Player,Defender,22.0,Aleix Vidal,Spain,0,1989-08-21
FC Barcelona,2015/2016,Player,Defender,23.0,Thomas Vermaelen,Belgium,1,1985-11-14
